;brand;price
74;Cadeira Gamer Husky Gaming Hailstorm 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA088;R$ 1.149,99
75;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Vermelho - Mgch-mx0/rd;R$ 424,15
76;Cadeira Gamer Alpha Gamer Polaris Office Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto - AGPOLARISOE-BK;R$ 1.599,99
77;Cadeira Gamer Alpha Gamer Polaris Racing Edition,  Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Verde - AGPOLARISRE-BK-GRN;R$ 899,99
78;Cadeira Gamer Husky Gaming Blizzard 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA062;R$ 1.299,99
79;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Rosa - Mgch-mx0/pk;R$ 424,15
80;Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Azul - mgch-8131/bl;R$ 466,65
81;Cadeira Gamer Mymax Mx9, 150kg, Com Almofadas, Braços com Regulagem 2D, Giratória, Cilindro de Gás Classe 2 - 80mm, Preto e Vermelho;R$ 636,65
82;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 559,99
83;Cadeira Gamer Mymax Mx9, Giratória, Preto/Prata;R$ 636,65
84;Cadeira Gamer Fortrek Cruiser Black - 70514;R$ 979,99
85;Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza - CF-9010045-WW;R$ 1.949,99
86;Cadeira Gamer Raven X-10, Até 150Kg, Com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto e Azul - CDRVX10PA;R$ 699,99
87;Cadeira Gamer Husky Gaming Polar, Preto, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HPO-BK;R$ 699,99
88;Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010043-WW;R$ 1.949,99
89;Cadeira Gamer Husky Gaming Hailstorm 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA085;R$ 1.149,99
90;Cadeira Gamer XT Racer Draco, Até 130 Kg, Reclinável Ergonômica, Tecido Polyester, Preto e Dourado;R$ 2.299,00
91;Cadeira Noblechairs Hero TX Gaming Chair-anthracite - NBL-HRO-TX-ATC;R$ 2.699,99
92;Cadeira Gamer Noblechairs Hero, Black White - NBL-HRO-PU-BPW;R$ 3.099,99
93;Cadeira Gamer Alpha Gamer Polaris Edition, Até 150Kg, Descanso de Braço 4D,  Preto e Branco - AGPOLARISRE-BK-BL;R$ 1.249,99
94;Cadeira Gamer Mymax Mx9, até 150kg, Giratória, Com Almofadas, Reclinável, Preto/Roxo;R$ 636,65
95;Cadeira Gamer ThunderX3 EC3, Peso Suportado até 150Kg, Ergonômica, Reclinável, Preta - 67998;R$ 1.257,85
96;Cadeira Gamer Husky Gaming Storm, Preto, Vermelho e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-RBW;R$ 899,99
97;Cadeira Gamer ThunderX3 EC3, Até 120kg, com Almofadas, Preto e Ciano - 68000;R$ 1.024,99
98;Cadeira Gamer Mymax MX12, Até 150 Kg, Giratória, Preto e Azul;R$ 806,65
99;Cadeira Gamer Noblechairs Hero, Black Gold - NBL-HRO-PU-GOL;R$ 3.099,99
100;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Almofadas, Reclinável, Cilindro Classe 4, Cinza e Branco - CF-9010048-WW;R$ 2.199,99
101;Cadeira Gamer Draxen DN2, 150 kg, Altura Ajustáveis, Reclinação, com almofadas, Preto;R$ 764,15
102;Cadeira Gamer Raven X-30, Até 200Kg, com Almofadas, Descanso de Braço 4D, Reclinável, Trava de Inclinação, Preto e Amarelo - CDRV30PM;R$ 1.249,99
103;Cadeira Gamer Alpha Gamer Nimbus, Até 125 kg, Apoio de Braço 4D, Reclinável, Branco e Preto - AGNIMBUSBWHT;R$ 989,99
104;Cadeira Gamer Husky Gaming Storm, Preto e Verde, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BG;R$ 874,99
105;Cadeira Gamer Husky Gaming Blizzard 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA087;R$ 1.279,99
106;Cadeira Gamer Xt Racer Platinum W Series Cor:marrom;R$ 1.495,12
107;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Verde;R$ 466,65
108;Pistão para Cadeiras Husky Gaming Snow, Polar e Frost - HAC-PSPF;R$ 59,99
109;Cadeira Gamer Fortrek Cruiser Black/Red - 70515;R$ 839,99
110;Cadeira Gamer Husky Gaming Tactical, Digital Marpat, Com Almofadas, Reclinável, Descanso de Braço 2D - HTT-DM;R$ 894,99
111;Cadeira Gamer Alpha Gamer Zeta Black Blue - AGZETA-BK-BL;R$ 854,99
112;Cadeira Gamer Husky Gaming Blizzard 900, Preto e Amarelo, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA090;R$ 1.239,99
113;Cadeira Gamer Alpha Gamer Cygnus RGB - AGCYGNUS;R$ 984,99
114;Cadeira Gamer Elements Gaming Elemental ACQUA, Azul;R$ 930,51
115;Cadeira Gamer Profissional ThunderX3 TGC12, Suporta Até 150Kg, Preto E Verde;R$ 1.045,42
116;Cadeira Gamer Royale MoobX, Até 100Kg, Giratória,  Preto e Cinza;R$ 509,92
117;Cadeira Gamer Mymax MX8, Até 150Kg, Giratória, Preto e Azul;R$ 594,15
118;Cadeira Gamer ThunderX3 BC3, Black e Red- 67992;R$ 1.089,99
119;Cadeira Gamer Mymax MX0, Até 120Kg, Giratória, Preto e Azul;R$ 424,15
120;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Amarelo, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA089;R$ 1.199,99
121;Cadeira Gamer Fortrek Vickers, Black/Red - 70520;R$ 799,99
122;Cadeira Gamer, Prizi, Runner - Amarela;R$ 339,90
123;Cadeira Gamer Prizi Pz1006e, Capacidade de peso: Até 120 Kg, Verde;R$ 459,90
124;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Branco - MGCH-MX5/WH;R$ 679,99
125;Cadeira Gamer Noblechairs Hero, Black Red - NBL-HRO-PU-BRD;R$ 3.099,99
126;Cadeira Gamer Mymax Mx0, Suporta Até 120kg, Giratória, Preto E Branco;R$ 424,15
127;Cadeira Gamer Gallant, Altura Regulável, Preta/Vermelha -GCD10GPUA-VM;R$ 729,00
128;Cadeira Gamer Draxen DN1, até 150 kg, RGB, Rodas de Silicone, Encosto Regulável, Almofadas para apoio, Preto;R$ 849,15
129;Cadeira Gamer Husky Gaming Blizzard 970,  com Almofadas, Acabamento Alcantara, Reclinável com Sistema Frog, Preto - HGMA135;R$ 1.599,99
130;Cadeira Gamer Husky Gaming Hailstorm 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA063;R$ 1.299,99
131;Cadeira Gamer, XT Racer Defender,Reclinável Ergonômica, Tecido Polyester, Preto.;R$ 1.231,12
132;Cadeira Gamer Gallant Pro, Até 140 Kg, Giratória, Altura Regulável, Preto e Vermelho;R$ 959,00
133;Cadeira Gamer, Prizi Infinity, Até 150Kg - Vermelha;R$ 369,90
134;Cadeira Gamer Stillus Ergonômica Com Apoio Para Os Pés - Preto;R$ 542,71
135;Cadeira Gamer Noblechairs Epic, Até 120kg, com Almofadas, Branco - NBL-PU-WHT-001;R$ 2.549,99
136;Cadeira Gamer Asus Rog Chariot Core SL300, Preto, Almofada Lombar, Braços 4D, Cilindro de Gás - 90GC00D0-MSG010;R$ 3.649,99
137;Cadeira Gamer Prizi Infinity, até 120KG, Escritório, Azul;R$ 379,90
138;Cadeira Gamer PCTop Racer, Peso Suportado até 120Kg, Reclinável, Descanso de pés, Preta e Vermelha - Se1006;R$ 516,00
139;Cadeira Gamer Husky Gaming Blizzard 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA084;R$ 1.279,99
140;Cadeira Gamer Fox Racer Nordic, 125kg, Courino, Encostos Ajustável, Preto;R$ 529,90
141;Cadeira Gamer Fortrek Black Hawk Black - 70508;R$ 899,99
142;Cadeira Gamer Giratória Com Elevação, Office Black Hawk H01, Preto - Fortrek;R$ 1.259,90
143;Cadeira Gamer Boxbit Palmeiras Invicto Base Rodízio, Peso suportado: 120Kg;R$ 1.071,00
144;Cadeira Gamer Elements Lunari, Até 120kg, Com Almofada, Descanso de Braço 4D, Cilindro de Gás Classe 4, Knit Special, Cinza - 70044;R$ 2.999,99
145;Cadeira Gamer ThunderX3 BC7 Larger, Black/Cyan - 68841;R$ 1.879,99
146;Cadeira Gamer Mymax, Até 150 Kg, Giratória, Preto e Azul - MX13;R$ 806,65
147;Cadeira Gamer Husky Gaming Avalanche 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA061;R$ 1.299,99
148;Cadeira Gamer DT3 Nero Elite Syrah, Até 150 Kg, Com Almofada, Reclinável, Descanso de Braço 4D, Preto e Vinho - 13543-6;R$ 2.499,99
149;Cadeira Gamer PCYes Mad Racer V8 Turbo, Blue - V8TBMADAZ;R$ 1.399,99
150;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Vermelho - 76419;R$ 1.249,99
151;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA083;R$ 1.149,99
152;Cadeira Gamer Profissional ThunderX3 TGC12, Peso Suportado até 120Kg, Preta e Azul;R$ 1.214,86
153;Cadeira Gamer Pcyes Mad Racer V8 Turbo, até 180kg, Inclinação 135º, ergonômica, estofado de poliéster  Vermelha - V8tbmadvm;R$ 1.305,27
154;Cadeira Gamer Alpha Gamer Zeta, Até 120 Kg, Preto e Vermelho - AGZETA-BK-R;R$ 884,99
155;Cadeira Gamer DT3 Rhino Artemis, Até 150 Kg, Com Almofadas, Reclinável, Descanso de Braço 4D, Branco e Roxo - 13539-1;R$ 2.399,99
156;Cadeira Gamer Corsair T1 Race, Até 120kg, Apoio de Braços 4D, com Almofadas, Reclinável, Preto e Azul - CF-9010014-WW;R$ 1.399,99
157;Cadeira Gamer Noblechairs Epic Copper Limited Edition, Preta/Cobre - PGW-NB-EGC-016;R$ 2.299,99
158;Cadeira Nex Max, Giratória E Reclinável, Preta E Branca - Dxracer;R$ 1.762,74
159;Cadeira Gamer Mymax Mx12, Peso Máximo Suportado: 150kg, Giratória, Preto/Branco;R$ 806,65
160;Cadeira Gamer Dazz Prime-X, Peso Suportado até 250Kg, Construção Em Aço, Preto e Branco - 62000011;R$ 1.208,03
161;Cadeira Gamer Giratoria MX12 MyMax, Suporta 150Kg, Preto e Vermelho;R$ 806,65
162;Cadeira Gamer PcTop, Azul - Se1022;R$ 666,00
163;Cadeira Gamer PCYes Mad Racer V8 Turbo, Red - V8TBMADVM;R$ 1.399,99
164;Cadeira Gamer Mymax, Mx5, Até 150kg, Giratória Branco E Verde;R$ 679,15
165;Cadeira Gamer Noblechairs Hero, Black Blue - NBL-HRO-PU-BBL;R$ 3.099,99
166;Cadeira Gamer Husky Gaming Blizzard 970, cm Almofadas, Acabamento Alcantara, Reclinável com Sistema Frog, Cinza - HGMA132;R$ 1.599,99
167;Cadeira Gamer Gallant Pro Giratória, Altura Regulável, Preta - GCD10GPUB-AZ;R$ 959,00
